index_product_wise,product_id_processed,comments,star_rating,helpful_votes,total_votes,verified_purchase,review_date,diff_date,is_predict
10,0,"['old', 'sharp', '34', 'range', '34', 'started', 'die', '14', 'years', 'service', 'display', 'become', 'dim', 'door', 'starting', 'crack', 'quite', 'large', 'chips', 'falling', 'decided', 'replaced', 'finding', 'range', 'gas', 'convection', 'good', 'extractor', 'fan', 'proved', 'difficult', 'decided', 'sharp', 'product', 'at', '71', 'lbs', 'different', 'mounting', 'points', 'predecessor', 'difficult', 'installation', 'task', 'could', 'done', 'person', 'once', 'place', 'however', 'greatest', 'better', 'designed', 'extractor', 'inlets', 'placed', 'handle', 'heat', 'gas', 'range', 'well', 'large', 'ceramic', 'turntable', 'easy', 'clean', 'plus', 'selected', '34', 'rotate', '34', 'permits', 'bigger', 'dishes', 'used', 'needed', 'best', '34', 'keep', 'warm', '34', 'feature', 'allows', 'warming', 'serving', 'plates', 'well', 'keeping', 'unserved', 'food', 'ready', '34', 'seconds', '34', 'without', 'whole', 'reheat', 'cycle', 'great', 'product', 'given', '5', 'stars', 'physical', 'difficulty', 'installation', 'fairness', 'probably', 'much', 'brand']",4.0,6.0,6.0,Y,2012-12-30,191.0,0
11,0,"['researched', 'many', 'microwaves', 'needs', 'perfect', 'unit', 'second', 'first', 'special', 'ordered', 'delivered', 'big', 'box', 'store', 'arrived', 'damaged', 'arrived', 'fine', 'well', 'packaged', 'trip', 'cooks', 'evenly', 'convection', 'mode', 'microwave', 'fabulous', 'arrived', 'promised', 'definitely', 'buy', 'seller']",5.0,1.0,1.0,Y,2013-12-17,352.0,0
12,0,"['3rd', 'almost', '15', 'yrs', 'good', 'reliable', 'model']",5.0,0.0,0.0,Y,2014-12-08,356.0,0
13,0,"['microwave', 'piece', 'garbage', 'ordered', 'another', 'online', 'website', 'arrived', 'defective', 'sharp', 'refused', 'replace', 'go', '4', 'repair', 'appointments', 'agreed', 'send', 'new', 'pay', 'replacement', 'installed', 'sharp', 'customer', 'service', 'terrible', 'dodging', 'phone', 'calls', 'bought', 'something', 'else', 'amazon', 'lesson', 'learned']",1.0,1.0,3.0,N,2015-06-11,185.0,0
0,0,"['mount', 'models', 'paid', 'looking', 'mechanism', 'keypad', 'newly', 'frozen', 'cu', 'close', 'come', 'crazy', 'blue', 'cabinet', 'chat', '58', '00', '125', '29', '2015', '150', '3rd', '11', '04', '29', '300', '26', '220v', '11', '1200', '2nd', '27', '2014', '14', '17', 'additionally', '23']",3.5709089040756226,22.98689065501094,37.08765381574631,0.7639150619506836,2022-02-22,44.649807915091515,1
1,0,"['immediately', 'flaking', 'everyone', 'cold', 'cube', 'controls', 'beyond', 'caution', 'chance', '21', 'brands', 'condition', 'asked', 'attractive', 'another', 'accurate', '55', 'appreciate', 'because', 'appearance', '90', 'beverages', '2015', 'about', '2010', '1100', 'additionally', '2016', '2nd', 'april', '21', 'actually', '7', '2008', 'amazon', 'alarm', '8', '62', '08', '5e', 'anywhere', 'alone', 'admit', 'anyone', 'and', 'any', 'addition', 'beat', 'amazon', 'automatic', 'appearance', 'back', 'american', 'american']",4.16487455368042,38.763348899781704,58.499937295913696,0.9262757301330566,2022-02-22,104.60912270843983,1
2,0,"['hotter', 'cosmetic', 'custom', 'buyer', 'brush', 'assume', 'appliances', 'bells', '300', 'bags', 'bakeware', '800', 'bar', 'beeper', 'ask', 'alot', 'baking', 'bring', 'basic', 'becoming', 'calling', 'buying', 'booklet', 'bit', 'cabinets', 'begins', 'cabinets', 'breaker', 'beeping', 'burn', 'agree', 'allow', '2015', 'apart', 'add', '57', 'address', '2016', '29', '34', '300', '800', '1200', '62', '2004', '28', 'adjust', '4', '129', '8', 'ability', '40', 'add', '75', '400', '13', '250', 'adorable', '55', 'allows', '29', 'adequate', '30']",3.027849793434143,10.1167381554842,29.60508018732071,0.6909902095794678,2022-02-22,4.0955481845885515,1
3,0,"['functions', 'complain', 'cooker', 'catch', 'absolute', 'added', '57', '350', '000', 'adequate', 'alot', 'another', 'answered', 'advertised', 'ago', 'agree', '2016', 'anchor', 'actually', '2012', '03', '6', '24', '2nd', '23', '250', '500', '26', '05', '10', '08', '129', '240', '2015', '5e', '200', '20', '19', '27', '07', '2010', '2008', '2006', '34', '23', '2009', '23', '2006', '2014', 'able', '700', '2014', '14', '40']",3.0276665091514587,-1.6263658106327057,15.91526198387146,0.7310827970504761,2022-02-22,-1.572568692266941,1
4,0,"['generally', 'fact', 'current', 'change', 'back', '240', '99', '000', '10', 'ability', 'ability', 'accidentally', 'all', 'advise', 'alot', 'anything', 'apartment', 'add', 'already', 'as', 'address', 'amana', 'amazon', 'address', '34', '2011', 'amana', 'about', '16', '56', '750', '2004', 'additionally', '29', '5e', 'agreed', '03', '4', '50', '90', '11', '2014', '2013', '2006', '16', '2008', '03', '2012', '23', '2006', '01', '4', '7', '19', '20', '2015', '03', '27', '220v', 'able', '09', '57', '21']",3.2116377353668213,6.4301963821053505,19.46507900953293,0.7656431198120117,2022-02-22,3.952312419191003,1
5,0,"['early', 'comes', 'be', 'arrived', '5', 'amana', 'and', 'after', 'anymore', 'anyone', 'alot', 'at', 'arrived', 'assurant', 'also', 'asin', 'advantium', 'an', 'appliances', 'agree', 'allows', 'added', 'accordingly', '2014', '40', 'allow', '800', '6', '200', '2004', '30', '24', '29', '199', '220v', '24', '200', '240', '2016', '4', '100', '60', '400', '150', '350', '2009', 'ability', '2006', '2013', '2010', '7', '57', '500', '50', '199', '350', '2011', '2013']",3.19767564535141,6.980536591261625,18.512544453144073,0.7694469690322876,2022-02-22,4.312327295541763,1
6,0,"['failed', 'cleaned', 'awesome', 'attractive', '199', '08', '3', 'apart', '2006', 'adding', '20', 'apartment', 'assume', 'anything', 'average', 'arrive', 'allow', 'automatically', 'apparently', 'attempts', 'any', '700', 'additionally', '28', 'advise', '14', '5', '58', 'annoying', 'address', '28', '40', 'accurate', '4', '75', '16', '2nd', '220v', '220v', '18', '15', '21', '9', '2008', '19']",3.0872124433517456,4.602013133466244,13.410144686698914,0.7472553253173828,2022-02-22,-1.5508774779736996,1
7,0,"['duct', 'chose', 'appointment', 'amana', 'address', '05', '240', '199', '2016', '4', 'advantage', 'apply', 'appropriate', 'as', 'alone', 'awesome', 'appointment', 'advertised', '8', '85', 'agreed', '26', '13', '3', 'appliance', 'appearance', 'absolute', '90', 'agree', 'also', '5e', '350', '30', '400', '29', '34', '34', '3', '220v', '27', '58', '2006', '60', '12', '90', '17', '25', '15', '19', '1200', '08', '2009', '250', '2014', '2010', '26', '100', '2010', '200', '17']",3.0017149448394775,3.472525045275688,11.469169855117798,0.7338739633560181,2022-02-22,-2.4756831228733063,1
8,0,"['etc', 'chef', 'circuit', 'action', '01', '1000', '300', '4', 'adds', 'areas', 'attempt', 'assurant', 'always', 'annoying', 'april', 'appreciate', 'anybody', 'advise', 'any', 'adding', '99', '125', '5e', 'already', '750', 'after', 'an', 'also', 'apply', '400', '55', 'actually', '400', '2016', '3rd', '23', '2012', '90', '8', '99', '129', '16', '6', '03', '56', '7', '199', '23', '129', '20', '00', '16']",2.93013334274292,3.002286836504936,10.907654136419296,0.7204363346099854,2022-02-22,-1.7673508487641811,1
9,0,"['engine', 'changed', 'agree', 'accordingly', '01', '2014', '000', '35', 'authorized', 'attempted', 'at', 'any', 'anybody', 'baked', 'bacon', 'anybody', 'amount', 'absolute', 'addition', '9', 'allowed', 'able', '24', '8', '58', 'answer', 'accept', '50', 'add', '57', '9', 'advantage', '750', '500', '85', '58', '55', '25', '300', '900', '2006', '99', '08', '2016', '9', '2016', '1000', '2011', '1', '03', '04', '16', '2004', '00', '55', '2008', '35', '00', '100']",2.88021981716156,3.113918073475361,11.516448140144348,0.7100767493247986,2022-02-22,-0.7372165508568287,1
0,1,"['purchased', 'item', 'two', 'reasons', '1', 'union', 'made', 'microwave', 'assembled', 'tn', 'american', 'made', 'microwave', 'found', 'convection', 'oven', 'double', '2nd', 'oven', 'styling', 'unit', 'nice', 'sleek', 'overcomplicated', 'enhances', 'look', 'kitchen', 'microwave', 'cooking', 'simple', 'built', 'functions', 'thawing', 'frozen', 'items', 'popping', 'popcorn', 'etc', 'you', 'punch', 'button', 'asks', 'many', 'steaks', 'defrosting', 'much', 'popcorn', 'popping', 'rest', 'convection', 'cooking', 'new', 'manual', 'recipe', 'booklet', 'come', 'unit', 'already', 'produced', 'salmon', 'steaks', 'white', 'wine', 'basil', 'sauce', 'cooked', 'pizza', 'found', 'heat', 'summer', 'oven', 'vs', 'gas', 'oven', 'cooks', 'faster', 'heat', 'house', 'much', 'there', 'also', 'function', 'combines', 'microwave', 'convection', 'cooking', 'get', 'meals', 'done', 'even', 'faster', 'many', 'things', 'machine', 'yet', 'figure', 'nice', 'feature', 'turn', 'turntable', 'depending', 'whether', 'round', 'rectangular', 'dish', 'unit', 'runs', 'regular', '110', 'voltage', 'complicated', 'rewiring', 'ge', 'kenmore', 'samsung', 'similar', 'units', 'made', 'korea', 'price', 'chose', 'microwave', 'tired', 'complaining', 'outsourcing', 'american', 'jobs', 'wanted', 'support', 'company', 'like', 'sharp', 'still', 'making', 'units', 'usa']",5.0,122.0,135.0,N,2004-06-19,0.0,0
1,1,"['ordered', 'shipped', 'open', 'box', 'customer', 'return', 'bottom', 'unit', 'dented', 'interior', 'dented', 'made', 'humming', 'vibrating', 'noise', 'microwave', 'operations', 'amazon', 'shipped', 'us', 'another', 'unit', 'also', 'obvious', 'open', 'box', 'damaged', 'customer', 'return', 'looks', 'like', 'people', 'dropping', 'install', 'returning', 'factory', 'warehouse', 'people', 'even', 'refurbishing', 'easy', 'tell', 'already', 'used', 'since', 'exhaust', 'vent', 'set', 'factory', 'default', 'recirculating', 'amazon', 'fault', 'fact', 'quick', 'ship', 'another', 'unit', '2nd', 'day', 'fedex', 'wonder', 'vendors', 'seeing', 'problem', 'love', 'way', 'looks', 'stove', 'looks', 'like', 'wont', 'sending', 'another', 'due', 'problems', 'warehouse']",2.0,12.0,14.0,N,2004-09-13,86.0,0
2,1,"['ordered', 'line', 'came', 'promptly', 'found', 'bent', 'bottom', 'bent', 'piece', 'stainless', 'steel', 'across', 'front', 'vent', 'damper', 'came', 'inside', 'oven', 'damaged', 'appeared', 'factory', 'sealed', 'unit', 'come', 'factory', 'like', 'possible', 'bottom', 'bent', 'somewhere', 'shipment', 'ranging', 'factory', 'shipper', 'since', 'got', 'friday', 'went', 'ahead', 'installed', 'thinking', 'sharp', 'simply', 'send', 'parts', 'screw', 'simple', 'replacement', 'parts', 'wrong', 'first', 'sharp', 'said', 'warrant', 'cosmetic', 'damage', 'told', 'factory', 'shipped', 'way', 'please', 'send', 'parts', 'they', 'said', 'no', 'ship', 'back', 'bought', 'much', 'argument', 'take', 'send', 'back', 'ended', 'costing', 'seller', 'shipping', 'charges', 'paid', 'felt', 'right', 'sharp', 'could', 'easily', 'fixed', 'problem', 'shipper', 'another', 'unit', 'stock', 'got', 'refund', 'ended', 'buying', 'another', 'brand', 'locally', 'foam', 'bottom', 'carton', 'thin', 'none', 'middle', 'thus', 'subjecting', 'unit', 'shipping', 'damage', 'sharp', 'never', 'gave', 'real', 'problems', 'customer', 'service', 'really', 'sucks', 'my', 'advise', 'carefully', 'check', 'any', 'microwave', 'oven', 'buy', 'leave', 'store', 'install', 'apparently', 'factories', 'usa', 'korea', 'ship', 'finally', 'got', 'replacement', 'oven', 'installed', 'third', 'unit', 'get', 'bent', 'right', 'box']",1.0,12.0,16.0,N,2004-09-30,17.0,0
3,1,"['see', 'many', 'disgruntled', 'people', 'shipping', 'problems', 'sharp', 'put', 'enough', 'packing', 'materials', 'box', 'ship', 'via', 'post', 'office', 'ups', 'at', '85', 'lbs', 'seller', 'needs', 'double', 'box', 'add', 'packing', 'material', 'send', 'via', 'fed', 'ex', 'dhl', 'higher', 'ground', 'rate', 'customer', 'fine', 'thanks', 'thecloseoutking']",5.0,9.0,13.0,N,2004-11-19,50.0,0
4,1,"['one', 'week', 'installing', 'stove', 'convection', 'microwave', 'stainless', 'steel', 'interior', 'began', 'look', 'spotted', 'white', 'cloth', 'rubbed', 'area', 'revealed', 'rust', 'continued', 'growing', 'like', 'severe', 'rash', 'surfaces', 'inside', 'sharp', 'authorized', 'local', 'service', 'rep', 'make', 'housecall', 'examine', 'he', 'concluded', 'metal', 'interior', 'defect', 'whereupon', 'sharp', 'said', 'replace', 'pay', 'reinstallation', 'unit', 'removing', 'defective', 'microwave', 'reinstalling', 'cost', '140', 'that', 'wipes', 'savings', 'incurred', 'ordering', 'online', 'sharp', 'customer', 'service', 'compensate', 'much', 'better', 'buying', 'local', 'retailer', 'changed', 'piece', 'without', 'charge', 'situation', 'like', 'live', 'learn', 'month', 'inspection', 'received', 'replacement', 'said', 'back', 'order', 'still', 'available', 'online', 'aside', 'interior', 'cosmetic', 'defect', 'microwave', 'looks', 'great', 'works', 'fine']",1.0,16.0,19.0,Y,2004-11-20,1.0,0
5,1,"['bit', 'put', 'reviews', 'critical', 'packaging', 'delivery', 'installation', 'problems', 'quality', 'in', 'case', 'least', 'amazon', 'sharp', 'scored', '100', 'categories', 'find', 'small', 'hydraulic', 'jack', 'helps', 'immeasurably', 'single', 'handedly', 'positioning', 'unit', 'installation', 'and', 'manual', 'misleading', 'regarding', 'exhaust', 'fan', 'orientation', 'often', 'case', 'manual', 'updates', 'lag', 'product', 'improvements']",5.0,5.0,5.0,N,2005-07-27,249.0,0
6,1,"['bought', 'sharp', 'r', '1874', 'november', '2006', 'immediately', 'noticed', 'entire', 'unit', 'appeared', 'flimsy', 'construction', 'now', 'door', 'seal', 'properly', 'work', 'micro', 'convection', 'mode', 'user', 'continually', 'keeps', 'pressure', 'latch', 'ridiculous', 'situation', 'sharp', 'usa', 'help', 'repairman', 'gave', '230', 'quote', 'fix']",1.0,4.0,4.0,N,2008-07-17,1086.0,0
7,1,"['unable', 'find', 'filters', 'fit', 'microwave', 'ordered', 'sharp', 'fit', 'sharp', 'told', 'get', 'service', 'man', 'install', 'service', 'man', 'could', 'install', 'called', 'sharp', 'told', 'design', 'error', 'filters', 'available', 'model', 'sharp', 'reimburse', 'expense', 'service', 'call', 'otherwise', 'great', 'microwave', 'convection', 'oven']",4.0,3.0,4.0,N,2008-12-29,165.0,0
8,1,"['purchased', 'jan', '2004', 'just', 'stopped', 'working', '6', '12', 'guessing', 'magnetron', 'blew', 'just', 'past', '7', 'year', 'warranty', 'part', 'researching', 'several', 'microwave', 'ovens', 'replace', 'model', 'hope', 'using', 'manufacturing', 'process', 'one', 'problem', 'early', 'fixed', 'quickly', 'full', 'support', 'customer', 'service', 'warranty', 'pros', 'used', 'microwave', 'daily', 'usually', 'several', 'times', 'day', '8', 'years', 'in', 'contrast', 'reviewer', 'ceramic', 'turntable', 'clean', 'day', 'got', 'yes', 'take', 'clean', 'whenever', 'gets', 'spill', 'either', 'dishwasher', 'hand', 'couple', 'spots', 'inside', 'unit', 'like', 'clean', 'appearance', 'unit', 'without', 'handles', 'outside', 'cons', 'not', 'roomiest', 'interior', 'listed', 'clearly', 'specs', 'exhaust', 'fan', 'seem', 'much', 'anything', 'live', 'nyc', 'apt', 'set', 'external', 'exhausting', 'so', 'installation', 'recirculating', 'glad', 'large', 'window', 'right', 'next', 'range', 'n', 'used', 'special', 'settings', 'often', 'remark']",4.0,3.0,3.0,N,2012-06-04,1253.0,0
9,1,"['bought', 'microwave', 'kitchen', 'remodel', 'partly', 'also', 'unit', 'motorhome', 'combination', 'outside', 'hood', 'vent', 'range', 'light', 'convection', 'oven', 'microwave', 'made', 'bargain', 'well', 'shipping', 'perfect', 'packed', 'boxes', 'first', 'manufacture', 'styro', 'lined', 'box', 'box', 'bubble', 'wrapped', 'boxed', 'separate', 'larger', 'box', 'stainless', 'steel', 'matches', 'appliances', 'looks', 'great', 'thanks', 'sharp', 'thanks', 'amazon']",5.0,2.0,2.0,Y,2012-08-21,78.0,0
10,1,"['fits', 'perfectly', 'previous', 'sharp', 'model', 'space', 'heating', 'seems', 'previous', 'model', 'although', 'states', '850', 'watts', 'old', 'said', '1100', 'watts', 'exhaust', 'work', 'well', 'model', 'fan', 'seems', 'work', 'low', 'high', 'speed', 'difference', 'sound', 'intensity', 'fan', 'sound', 'one', 'think', 'low', 'seem', 'quieter']",3.0,3.0,3.0,Y,2013-03-11,202.0,0
11,1,"['gave', 'daughter', 'birthday', 'her', 'husband', 'installed', 'range', 'she', 'loves', 'convenience', 'another', 'oven', 'option', 'microwave', 'convection', 'large', 'enough', 'big', 'baked', 'chicken']",5.0,2.0,2.0,Y,2013-07-06,117.0,0
12,1,"['used', 'dacor', 'labelled', 'version', 'aplliance', '10', 'years', 'gave', 'found', 'exact', 'appliance', 'dacor', 'half', 'price', 'so', 'ordered', 'returned', 'immediately', 'dents', 'obviously', 'dropped', 'seemed', 'making', 'louder', 'noise', 'old', 'dacor', 'operating', 'afraid', 'internal', 'damage', 'amazon', 'always', 'good', 'making', 'full', 'refund', 'return', 'came', 'across', 'highly', 'discounted', 'floor', 'model', 'microwave', 'featured', '400', 'cfu', 'exhaust', 'system', 'vs', '300', 'cfu', 'exhaust', 'product', 'feature', 'important', 'wife', 'lot', 'stir', 'frying', 'microwave', 'bought', 'also', '1100', 'watts', 'vs', '850', 'watts', 'know', 'important', 'extra', '250', 'watts', 'really', '850', 'watts', 'fine', 'us', '10', 'years', 'could', 'lower', 'wattage', 'helped', 'last', 'long', 'and', 'convection', 'oven', 'utility', 'something', 'may', 'miss', 'think', 'anyway', 'think', 'pretty', 'good', 'product', 'particularly', 'convection', 'function', 'lot', 'one', 'word', 'advice', 'buy', 'vent', 'outside', 'remove', 'vent', 'flap', 'top', 'unit', 'install', 'vent', 'flap', 'end', 'duct', 'line', 'our', 'vent', 'flap', 'became', 'loaded', 'grease', 'stuck', 'closed', 'postion', 'exhaust', 'entered', 'covered', 'wiring', 'internal', 'parts', 'grease', 'causing', 'overheat', 'blow', 'magnitron', 'also', 'religious', 'keeping', 'vent', 'screens', 'clean', 'if', 'done', 'things', 'old', 'dacor', 'may', 'lasted', 'knows', 'much', 'longer', 'considered', 'repairing', 'technician', 'said', 'much', 'grease']",4.0,7.0,8.0,Y,2013-08-10,35.0,0
13,1,"['box', 'crushed', 'top', 'venting', 'cover', 'dented', 'cracked', 'used', 'old', 'model', 'needed', 'replaced', 'avoid', 'return', 'bs']",3.0,2.0,2.0,Y,2013-10-04,55.0,0
14,1,"['although', 'add', 'listed', 'unit', '34', 'used', '34', 'fact', 'brand', 'new', 'thrilled', 'socks', 'installed', 'motorhome', 'works', 'like', 'charm', 'thank', 'thank', 'thank']",5.0,2.0,2.0,Y,2014-11-27,419.0,0
15,1,"['direct', 'replacement', 'rv', 'original', 'lasted', '15', 'years', 'hope', 'get', 'life', 'all', 'previous', 'reviews', 'spot', 'fact', 'new', 'hard', 'get', 'two', 'mounting', 'bolts', 'start', 'took', '40', 'minutes', 'new', 'models', 'fan', 'motor', 'far', 'louder', 'old', 'but', 'unit', 'works', 'great', 'categories']",4.0,2.0,2.0,Y,2014-12-08,11.0,0
16,1,"['replaced', '12', 'year', 'old', 'identical', 'model', 'finally', 'quit', 'while', 'considered', 'recent', 'model', 'convenience', 'installing', 'microwave', 'exact', 'dimensions', 'mounting', 'hardware', 'hard', 'beat', 'there', 'lot', 'buttons', 'probably', 'never']",4.0,6.0,7.0,Y,2015-01-29,52.0,0
17,1,"['perfect', 'fit', 'went', 'several', 'appliance', 'stores', 'locally', 'telling', 'get', 'fit', 'love', 'look', 'bot', 'microwave', 'convection', 'wok', 'great']",5.0,1.0,2.0,Y,2015-03-16,46.0,0
18,1,"['great', 'price', 'shipped', 'good', 'speedy', 'time', 'small', 'dent', 'decided', 'going', 'complain', 'worry', 'oven', 'mounted', 'neither', 'us', 'felt', 'worth', 'taking', 'starting', 'works', 'great', 'convection', 'micro', 'wave']",4.0,4.0,5.0,Y,2015-05-20,65.0,0
19,1,"['enjoy', 'travels', 'rv', 'sharp', 'convection', 'microwave', 'oven', 'love']",5.0,2.0,3.0,Y,2015-08-11,83.0,0
0,1,"['duty', 'paper', 'grilled', 'capacity', 'annoying', 'coming', 'again', 'brought', 'box', 'button', '29', '50', '3rd', '4', '1200', '200', '20', '27', '500', '100', '07', '01', '1', '07', '17', '18', '150', '50', '12', '09', '12', '1100', '000', '04']",4.475217163562775,-4.640974748879671,1.1647877097129822,1.1053738594055176,2022-02-22,29.12412640452385,1
1,1,"['magnatron', 'grill', 'four', 'dual', 'carousels', 'charm', '10', '21', '00', '24', '26', '11', '03', '01', '09', '350', '10', '13', '100', '125', '10', '25', '125', '1']",4.234853386878967,1.924011204391718,8.882484406232834,0.9656690955162048,2022-02-22,15.849581705406308,1
2,1,"['number', 'moment', 'example', 'electronics', 'engineering', 'degrees', 'creates', 'cooks', 'cardboard', 'bubbling', 'alone', 'advise', 'automatic', 'aware', '16', '25', '19', '21', '30', '7', 'added', '250', '2008', '3rd', 'advise', '1000', 'affordable', 'address', '40', '1', '75', '28', '2012', '2015', '5', '2011', 'address', '18', '2011', '2011', '13', '150', '2009', 'able', 'address', 'appeared', 'am', 'adorable']",4.8883262276649475,21.66471716016531,20.549705922603607,1.1458020210266113,2022-02-22,97.92335553467274,1
3,1,"['from', 'love', 'features', 'if', 'deep', 'didnt', 'could', 'cheaper', 'because', 'awesome', 'attempted', 'burn', 'ask', 'avoid', 'assurant', 'buying', 'charge', 'called', 'book', 'brush', 'coat', 'bucks', 'common', 'cheap', 'changing', 'coffee', 'beverage', 'calls', 'brush', 'bucks', 'brush', 'best', 'area', 'certain', 'average', 'behind', 'attached', 'beautiful', 'avoid', 'allow', 'allow', 'bacon', 'appointments', 'advertised', '99', 'along', 'adding', 'advantium', 'action', '85', '56', '5', '900', '220v', '21', '1200', '34', '34', '2009', '62', '2014', '10', '150', 'absolutely', '2004', 'adding', '60']",3.7405800819396973,-2.2154432386159897,2.2660312056541443,0.9038269519805908,2022-02-22,-16.172146912664175,1
4,1,"['excellent', 'huge', 'cu', 'awful', '100', '8', 'advice', '55', '26', 'always', 'ahead', 'adequate', 'anymore', 'application', 'application', 'also', '55', 'appreciate', '90', 'bad', '23', '20', '6', '17', 'accidentally', '400', '10', '14', '15', '26', '350', '16', '12', '19', '56', '100', '34', '17', '16', '000', '34', '07', '26', '04']",3.4452971816062927,-14.052166067063808,-7.7849796414375305,0.8340117931365967,2022-02-22,-21.046760708093643,1
5,1,"['guess', 'good', 'forgot', 'color', 'caveat', '16', 'and', '000', '20', '700', '5', '1', 'adequate', 'appointments', 'automatic', 'always', 'an', 'amount', 'advertised', 'alot', '28', '19', '40', '250', '129', '27', 'after', '2011', '200', '21', '26', 'adds', '30', '60', '2011', '10', '15', '10', '08', '2008', '20', '57', '28', '14', '21', '1200', '2016', '2009', '240', '2008', '100', '11', '13']",3.7978392839431763,-2.319918043911457,6.801385343074799,0.9130291938781738,2022-02-22,-4.706307336688042,1
6,1,"['follow', 'failed', 'coat', 'avoid', '3rd', '20', '1200', '07', '34', 'anybody', 'apparently', 'allows', 'additionally', 'any', 'answered', 'all', 'april', 'actual', 'all', 'allows', '400', '16', '300', '2008', '26', '900', '29', '00', '34', 'across', '500', '8', '99', '400', '17', '350', '24', '2013', '350', '21', '20', '15', '17', '14', '000', '220v', '58', '199', '2010', '2006', '20']",3.782411217689514,5.531330369412899,14.162604212760925,0.9061379432678223,2022-02-22,3.0494337119162083,1
