review_date,helpful_votes,total_votes,weighted_votes,weighted_ratings
2008-10-24,1,1,2,2
2008-10-30,5,6,5,10
2008-11-02,3,3,4,8
2008-11-09,6,6,7,14
2008-11-11,1,1,2,4
2008-11-12,0,0,2,4
2008-11-27,0,0,1,2
2008-11-30,0,0,1,2
2008-12-01,7,7,8,16
2008-12-06,0,0,1,2
2008-12-15,0,0,1,2
2008-12-22,1,1,2,-2
2008-12-23,6,7,6,0
2008-12-25,3,3,5,10
2008-12-28,1,1,2,4
2008-12-29,4,7,3,3
2009-01-01,0,0,1,2
2009-01-06,0,0,1,2
2009-01-12,0,0,1,2
2009-01-20,0,0,1,2
2009-02-02,0,0,1,2
2009-02-09,0,0,2,4
2009-02-12,33,35,32,64
2009-02-15,0,0,2,4
2009-02-16,2,4,2,-2
2009-02-17,0,0,1,0
2009-02-23,0,0,1,2
2009-02-24,0,0,1,2
2009-03-06,2,5,0,0
2009-03-07,1,1,2,2
2009-03-09,3,3,6,11
2009-03-12,7,10,5,10
2009-03-14,0,0,1,2
2009-03-22,1,5,-1,4
2009-03-24,1,1,2,2
2009-03-28,1,2,1,-1
2009-03-31,0,0,1,2
2009-04-01,1,2,1,1
2009-04-04,0,0,1,2
2009-04-05,2,2,3,6
2009-04-10,6,6,8,16
2009-04-12,0,0,1,2
2009-04-14,0,0,2,4
2009-04-15,0,1,0,0
2009-04-16,0,0,1,2
2009-04-20,11,15,9,10
2009-04-29,2,4,1,2
2009-05-07,7,8,7,14
2009-05-08,0,1,0,0
2009-05-20,0,4,-3,3
2009-06-17,0,0,1,2
2009-06-26,0,0,1,1
2009-06-29,2,2,3,6
2009-07-02,1,1,2,4
2009-07-04,1,3,0,0
2009-07-07,0,1,0,0
2009-07-11,0,0,1,1
2009-07-16,0,5,-4,4
2009-07-20,3,4,3,6
2009-07-23,0,0,1,2
2009-08-02,7,7,8,16
2009-08-06,1,2,1,1
2009-08-10,7,9,7,0
2009-08-16,0,0,1,2
2009-08-30,1,2,1,2
2009-09-01,0,3,-1,-2
2009-09-03,0,0,1,2
2009-09-07,7,12,3,-6
2009-09-09,0,0,1,2
2009-09-11,1,2,1,1
2009-09-12,0,0,1,2
2009-09-13,0,0,1,2
2009-09-18,17,24,13,24
2009-09-21,0,0,1,2
2009-09-29,2,3,2,2
2009-10-07,10,15,7,23
2009-10-09,3,5,2,-2
2009-10-12,2,2,3,0
2009-10-18,2,4,2,4
2009-11-01,1,2,1,-2
2009-11-04,0,0,1,0
2009-11-06,0,0,1,2
2009-11-08,0,0,1,2
2009-11-11,2,2,3,6
2009-11-12,1,2,1,2
2009-11-19,5,9,2,0
2009-11-27,0,0,1,2
2009-11-28,2,3,2,4
2009-12-03,1,1,2,4
2009-12-05,0,0,1,1
2009-12-09,0,0,3,5
2009-12-10,1,1,2,4
2009-12-18,3,10,-3,6
2009-12-22,12,17,8,16
2009-12-23,2,4,1,2
2009-12-26,0,0,1,2
2009-12-28,0,0,1,2
2009-12-29,0,0,1,2
2009-12-30,1,1,2,2
2010-01-02,0,1,0,0
2010-01-13,3,3,4,8
2010-01-14,4,4,6,12
2010-01-17,0,0,1,2
2010-01-20,0,0,1,0
2010-01-23,1,1,2,4
2010-01-25,0,0,2,4
2010-01-27,0,1,0,0
2010-01-29,1,2,2,4
2010-01-31,4,5,5,6
2010-02-11,36,43,30,-30
2010-02-15,4,7,2,4
2010-02-16,1,2,1,-1
2010-02-20,1,1,2,4
2010-02-21,5,7,4,-4
2010-02-26,2,2,3,6
2010-02-28,0,0,1,2
2010-03-02,1,1,2,2
2010-03-04,0,0,1,2
2010-03-08,2,2,3,6
2010-03-09,3,3,4,8
2010-03-13,3,7,1,2
2010-03-15,2,2,3,3
2010-03-19,8,8,10,19
2010-03-21,2,3,3,6
2010-03-23,0,0,1,2
2010-04-06,2,2,3,-3
2010-04-11,1,1,2,4
2010-04-14,10,12,9,9
2010-04-15,1,3,1,-1
2010-04-25,1,1,3,6
2010-04-27,0,0,2,4
2010-04-28,0,6,-5,5
2010-05-03,5,8,3,6
2010-05-04,1,5,-2,4
2010-05-05,0,0,1,2
2010-05-07,2,4,1,2
2010-05-08,1,2,1,1
2010-05-10,1,5,0,5
2010-05-11,0,0,2,3
2010-05-12,11,12,13,13
2010-05-13,1,1,2,4
2010-05-18,0,0,1,1
2010-05-20,9,13,7,14
2010-05-21,0,0,1,1
2010-05-25,3,7,0,0
2010-05-26,4,5,5,6
2010-05-30,3,15,-8,16
2010-05-31,0,0,2,4
2010-06-04,1,1,2,-4
2010-06-05,2,4,1,-1
2010-06-07,4,10,1,2
2010-06-08,28,35,25,48
2010-06-09,0,0,2,4
2010-06-10,3,8,0,6
2010-06-14,0,0,1,2
2010-06-16,1,2,1,2
2010-06-21,2,2,5,-2
2010-06-22,0,0,1,2
2010-06-25,1,2,1,2
2010-06-28,2,4,2,2
2010-06-30,1,2,1,2
2010-07-01,0,0,1,2
2010-07-03,0,0,1,2
2010-07-04,2,3,3,3
2010-07-07,0,1,0,0
2010-07-12,0,0,1,2
2010-07-15,0,0,2,4
2010-07-16,0,0,1,2
2010-07-17,0,1,0,0
2010-07-18,0,0,1,2
2010-07-19,3,4,4,7
2010-07-20,1,2,2,4
2010-07-21,18,19,19,35
2010-07-25,0,0,1,2
2010-07-26,0,1,0,0
2010-07-28,1,3,1,4
2010-07-31,0,0,2,4
2010-08-01,0,0,1,2
2010-08-02,1,1,3,5
2010-08-03,2,3,3,6
2010-08-05,0,0,1,2
2010-08-06,3,5,3,3
2010-08-08,18,19,18,36
2010-08-12,2,2,3,6
2010-08-13,2,2,4,2
2010-08-17,0,0,1,-1
2010-08-18,0,0,1,2
2010-08-19,0,0,1,2
2010-08-20,0,0,2,4
2010-08-21,6,10,3,-6
2010-08-22,0,0,1,2
2010-08-25,5,5,7,14
2010-08-29,20,20,22,23
2010-08-31,17,17,18,36
2010-09-03,4,4,5,10
2010-09-05,0,0,1,2
2010-09-06,0,0,3,4
2010-09-07,2,2,3,-3
2010-09-09,1,2,1,-2
2010-09-10,2,3,3,6
2010-09-12,0,0,1,2
2010-09-13,0,0,1,1
2010-09-14,3,4,4,2
2010-09-17,0,0,1,2
2010-09-18,0,0,1,2
2010-09-19,1,1,2,4
2010-09-20,0,0,1,2
2010-09-25,0,0,1,2
2010-09-26,10,10,12,-20
2010-09-28,8,12,6,1
2010-10-01,3,5,2,0
2010-10-04,2,2,5,10
2010-10-05,2,5,4,5
2010-10-07,17,19,17,-30
2010-10-08,66,81,52,52
2010-10-11,0,0,1,1
2010-10-12,0,0,2,3
2010-10-15,88,101,77,3
2010-10-16,2,3,3,0
2010-10-18,1,2,3,3
2010-10-19,51,70,33,33
2010-10-22,1,1,3,6
2010-10-27,2,2,4,4
2010-10-28,2,4,2,4
2010-10-29,0,0,1,2
2010-11-01,0,0,2,3
2010-11-03,2,2,6,7
2010-11-04,3,12,-3,14
2010-11-05,0,0,1,2
2010-11-07,0,0,2,4
2010-11-08,0,0,1,1
2010-11-09,0,0,1,2
2010-11-10,0,0,1,2
2010-11-11,0,0,1,2
2010-11-12,0,0,1,2
2010-11-16,1,1,2,4
2010-11-18,4,6,3,6
2010-11-20,0,0,1,2
2010-11-23,3,4,4,8
2010-11-24,3,5,2,0
2010-11-25,0,0,1,1
2010-11-29,0,0,1,2
2010-11-30,1,5,0,6
2010-12-01,0,0,1,2
2010-12-02,1,3,1,2
2010-12-03,0,0,1,2
2010-12-04,0,1,1,2
2010-12-07,0,0,2,4
2010-12-12,2,3,2,2
2010-12-13,0,1,2,4
2010-12-14,0,0,2,4
2010-12-15,0,0,2,4
2010-12-17,0,0,2,3
2010-12-18,5,7,4,8
2010-12-19,0,1,0,0
2010-12-20,3,9,0,6
2010-12-22,0,0,1,1
2010-12-24,1,1,2,4
2010-12-27,0,0,1,2
2010-12-28,5,6,6,12
2010-12-29,1,2,1,1
2010-12-30,0,0,1,2
2010-12-31,1,1,2,4
2011-01-01,0,0,1,2
2011-01-02,0,0,1,1
2011-01-03,3,3,6,4
2011-01-05,0,3,-1,6
2011-01-07,3,3,7,14
2011-01-11,0,3,-2,4
2011-01-12,3,4,3,6
2011-01-13,32,38,28,-52
2011-01-14,1,2,1,2
2011-01-16,0,0,1,1
2011-01-17,0,0,1,2
2011-01-18,0,0,3,4
2011-01-19,1,1,2,4
2011-01-20,6,9,5,9
2011-01-23,2,4,1,-2
2011-02-01,7,7,8,16
2011-02-02,1,1,2,4
2011-02-03,0,0,1,1
2011-02-04,2,2,3,6
2011-02-05,1,1,4,8
2011-02-06,1,2,2,3
2011-02-07,13,18,14,24
2011-02-08,0,3,-1,0
2011-02-09,33,35,36,71
2011-02-10,0,2,-1,2
2011-02-11,4,7,3,6
2011-02-12,0,0,1,0
2011-02-13,3,4,4,7
2011-02-14,0,0,1,-1
2011-02-15,0,8,-3,20
2011-02-17,1,1,3,6
2011-02-18,0,0,2,4
2011-02-21,1,1,3,6
2011-02-22,0,0,2,4
2011-02-25,1,2,1,2
2011-02-27,12,14,15,19
2011-02-28,5,7,6,12
2011-03-01,6,9,7,9
2011-03-02,0,0,5,5
2011-03-03,6,11,3,6
2011-03-04,0,0,1,2
2011-03-08,0,0,2,3
2011-03-09,4,5,6,8
2011-03-10,0,3,-2,4
2011-03-11,181,206,159,170
2011-03-12,18,23,16,-24
2011-03-13,1,7,-1,7
2011-03-15,3,4,4,8
2011-03-16,0,0,2,4
2011-03-17,0,0,1,0
2011-03-18,5,5,6,12
2011-03-21,1,1,4,6
2011-03-22,0,0,3,5
2011-03-23,0,0,2,4
2011-03-24,0,0,1,2
2011-03-25,1,1,3,3
2011-03-27,1,1,2,4
2011-03-28,1,2,1,1
2011-03-29,1,4,2,6
2011-03-30,0,1,0,0
2011-03-31,68,94,48,57
2011-04-01,0,1,1,2
2011-04-04,3,4,4,7
2011-04-05,1,2,3,6
2011-04-06,1,1,2,0
2011-04-08,8,9,8,16
2011-04-09,1,2,4,4
2011-04-11,0,0,2,4
2011-04-12,2,9,-3,10
2011-04-13,0,0,1,1
2011-04-15,0,0,3,5
2011-04-16,0,0,1,2
2011-04-17,1,1,2,4
2011-04-18,0,0,2,4
2011-04-20,0,0,1,1
2011-04-23,0,0,1,1
2011-04-24,0,0,1,1
2011-04-25,0,1,1,2
2011-04-27,0,1,0,0
2011-04-28,6,8,7,12
2011-04-30,0,0,2,4
2011-05-02,0,0,1,1
2011-05-03,1,1,7,14
2011-05-04,1,2,2,4
2011-05-05,1,2,4,6
2011-05-06,0,0,1,2
2011-05-07,0,0,1,2
2011-05-09,22,27,19,21
2011-05-10,20,25,16,-16
2011-05-11,4,5,5,8
2011-05-12,0,0,1,0
2011-05-13,0,0,1,2
2011-05-15,6,13,1,-2
2011-05-16,0,0,2,3
2011-05-17,5,8,5,-3
2011-05-18,0,0,1,2
2011-05-19,0,1,3,3
2011-05-20,2,2,5,5
2011-05-21,0,0,2,1
2011-05-23,10,12,14,-7
2011-05-24,0,0,1,1
2011-05-25,1,1,4,2
2011-05-26,2,3,5,1
2011-05-27,0,0,1,1
2011-05-28,0,0,1,2
2011-06-02,3,5,3,0
2011-06-03,3,5,3,6
2011-06-05,5,6,6,12
2011-06-06,0,0,1,2
2011-06-07,1,2,3,4
2011-06-08,0,0,1,0
2011-06-10,2,3,2,-4
2011-06-11,0,0,1,2
2011-06-15,0,0,1,1
2011-06-16,3,6,3,-1
2011-06-17,9,13,7,-2
2011-06-18,9,11,10,20
2011-06-19,1,1,2,4
2011-06-20,6,8,6,0
2011-06-21,1,2,2,2
2011-06-23,1,2,1,1
2011-06-24,0,0,1,1
2011-06-26,0,1,1,2
2011-06-27,6,8,13,17
2011-06-28,0,0,1,1
2011-06-30,4,6,5,7
2011-07-01,0,0,1,2
2011-07-02,0,0,1,-1
2011-07-03,0,0,1,2
2011-07-04,3,4,4,8
2011-07-07,0,0,3,3
2011-07-08,6,7,9,17
2011-07-11,0,0,2,3
2011-07-13,0,0,1,2
2011-07-16,3,7,2,7
2011-07-17,0,1,0,0
2011-07-18,0,0,1,2
2011-07-19,1,2,1,2
2011-07-20,1,1,2,4
2011-07-22,2,2,3,6
2011-07-24,0,0,2,4
2011-07-25,0,0,2,4
2011-07-26,0,0,1,2
2011-07-27,0,0,1,2
2011-07-30,4,8,1,-2
2011-08-01,3,3,6,8
2011-08-02,0,0,1,2
2011-08-03,2,3,3,6
2011-08-04,0,0,1,2
2011-08-05,0,0,1,2
2011-08-08,0,0,1,2
2011-08-09,0,0,1,-1
2011-08-10,0,0,1,2
2011-08-11,14,18,14,11
2011-08-12,0,0,1,2
2011-08-13,0,0,1,2
2011-08-14,0,0,1,1
2011-08-15,0,0,2,4
2011-08-16,0,0,2,3
2011-08-17,3,3,4,8
2011-08-18,0,7,-6,6
2011-08-19,1,3,0,0
2011-08-20,8,22,-3,26
2011-08-22,6,7,7,-4
2011-08-23,2,7,-1,6
2011-08-24,0,0,1,0
2011-08-25,209,223,196,392
2011-08-26,0,0,3,1
2011-08-28,2,3,3,6
2011-08-29,0,0,3,6
2011-08-30,8,13,5,-10
2011-08-31,0,1,3,2
2011-09-01,0,0,1,2
2011-09-02,0,0,1,1
2011-09-03,4,5,7,12
2011-09-04,1,2,3,1
2011-09-06,1,3,0,0
2011-09-07,0,0,3,6
2011-09-08,1,3,1,2
2011-09-09,0,0,4,4
2011-09-11,2,2,4,8
2011-09-12,0,0,2,1
2011-09-13,1,2,4,2
2011-09-14,0,0,2,4
2011-09-15,0,0,1,-1
2011-09-16,0,0,1,2
2011-09-17,4,7,5,10
2011-09-18,4,10,2,3
2011-09-20,0,0,2,4
2011-09-21,4,5,8,11
2011-09-22,2,9,-2,7
2011-09-23,0,0,1,2
2011-09-24,0,0,1,2
2011-09-25,81,108,59,116
2011-09-27,0,1,2,2
2011-09-28,0,1,2,4
2011-09-30,4,4,5,5
2011-10-01,0,0,1,2
2011-10-02,0,1,0,0
2011-10-03,1,1,3,2
2011-10-04,5,14,-3,6
2011-10-06,1,2,3,6
2011-10-08,5,7,6,12
2011-10-09,5,7,6,5
2011-10-10,12,14,12,-24
2011-10-12,0,0,1,0
2011-10-13,5,13,-1,10
2011-10-14,0,1,1,1
2011-10-16,0,0,2,3
2011-10-17,0,0,2,4
2011-10-18,1,4,2,3
2011-10-19,3,3,6,10
2011-10-20,0,0,1,1
2011-10-22,0,0,1,0
2011-10-23,0,0,1,2
2011-10-24,0,0,1,1
2011-10-25,5,5,7,14
2011-10-27,0,0,1,2
2011-10-28,2,2,6,12
2011-10-31,0,0,2,3
2011-11-01,0,0,2,4
2011-11-02,0,0,2,3
2011-11-03,0,0,2,4
2011-11-04,1,1,2,4
2011-11-05,4,12,-2,6
2011-11-06,0,1,0,0
2011-11-07,4,5,7,14
2011-11-08,0,1,0,0
2011-11-09,1,2,1,2
2011-11-10,0,2,-1,-2
2011-11-11,43,46,44,81
2011-11-12,2,2,3,3
2011-11-14,0,0,3,4
2011-11-15,0,0,1,2
2011-11-16,22,28,19,-13
2011-11-17,0,0,2,3
2011-11-18,0,0,2,1
2011-11-19,0,0,1,2
2011-11-21,0,0,1,0
2011-11-22,6,8,6,1
2011-11-25,2,2,6,12
2011-11-26,1,2,1,0
2011-11-27,2,3,3,2
2011-11-28,11,11,16,-17
2011-11-29,2,10,-4,7
2011-12-01,0,0,2,1
2011-12-02,3,4,3,6
2011-12-04,46,68,77,60
2011-12-05,0,0,3,6
2011-12-06,3,7,0,0
2011-12-07,0,0,1,2
2011-12-08,1,2,3,6
2011-12-09,0,0,1,2
2011-12-10,4,6,3,-3
2011-12-11,0,0,1,2
2011-12-12,0,2,-1,-2
2011-12-13,3,4,4,6
2011-12-14,2,3,2,0
2011-12-15,0,0,1,2
2011-12-16,0,0,1,2
2011-12-17,0,5,-4,8
2011-12-18,0,0,1,2
2011-12-19,6,11,5,6
2011-12-20,5,6,8,16
2011-12-22,0,2,0,3
2011-12-23,3,4,4,8
2011-12-24,0,0,1,2
2011-12-25,0,0,1,2
2011-12-26,1,1,3,6
2011-12-27,0,0,2,4
2011-12-28,1,2,2,1
2011-12-29,1,1,2,4
2011-12-30,0,0,2,3
2011-12-31,13,20,14,12
2012-01-02,2,2,4,8
2012-01-03,5,12,2,5
2012-01-04,0,1,0,0
2012-01-05,1,2,6,7
2012-01-06,12,17,14,32
2012-01-07,2,6,-1,2
2012-01-08,0,0,2,4
2012-01-10,4,4,7,13
2012-01-11,10,14,11,2
2012-01-12,0,0,1,2
2012-01-13,1,2,4,3
2012-01-14,1,2,1,0
2012-01-15,0,0,3,5
2012-01-16,2,3,5,7
2012-01-18,0,14,-13,26
2012-01-19,9,9,11,22
2012-01-20,1,3,4,6
2012-01-21,0,0,1,2
2012-01-22,0,0,2,0
2012-01-24,1,3,2,1
2012-01-25,0,0,2,3
2012-01-26,0,0,1,2
2012-01-27,0,0,2,3
2012-01-28,0,0,2,4
2012-01-29,1,1,3,2
2012-01-31,0,1,0,0
2012-02-01,0,2,1,2
2012-02-02,3,3,6,3
2012-02-03,0,0,2,4
2012-02-04,0,0,2,3
2012-02-05,1,2,1,-1
2012-02-06,5,13,1,10
2012-02-08,0,0,3,6
2012-02-09,0,0,1,2
2012-02-10,0,0,1,2
2012-02-11,65,80,52,98
2012-02-13,8,11,6,6
2012-02-14,0,0,3,6
2012-02-15,0,0,2,4
2012-02-16,0,0,1,2
2012-02-17,0,0,2,4
2012-02-20,0,0,1,2
2012-02-23,1,3,0,0
2012-02-24,1,1,2,2
2012-02-25,2,3,2,4
2012-02-26,0,1,0,0
2012-02-27,0,0,1,0
2012-02-28,0,0,3,0
2012-02-29,0,0,1,2
2012-03-02,0,1,1,2
2012-03-03,1,2,3,-1
2012-03-04,42,46,40,80
2012-03-05,0,1,0,0
2012-03-06,0,0,1,1
2012-03-07,0,0,2,4
2012-03-09,2,3,2,-2
2012-03-10,9,9,10,20
2012-03-11,0,0,2,4
2012-03-12,0,0,2,3
2012-03-13,4,6,6,2
2012-03-14,6,7,9,18
2012-03-15,0,0,3,6
2012-03-16,1,1,2,4
2012-03-18,0,1,6,10
2012-03-20,7,9,8,12
2012-03-21,0,0,2,4
2012-03-22,0,0,1,2
2012-03-24,0,0,1,2
2012-03-26,0,1,1,2
2012-03-28,0,0,2,4
2012-03-29,0,0,2,2
2012-03-30,0,0,2,3
2012-03-31,1,1,2,-4
2012-04-02,1,3,1,2
2012-04-06,0,0,2,4
2012-04-07,0,0,1,2
2012-04-08,0,0,4,6
2012-04-09,1,3,1,-2
2012-04-10,0,0,1,2
2012-04-11,0,0,4,8
2012-04-12,3,5,4,6
2012-04-13,0,0,3,5
2012-04-15,0,0,1,2
2012-04-16,3,4,5,4
2012-04-17,11,13,12,12
2012-04-18,0,0,1,2
2012-04-19,0,0,3,6
2012-04-20,0,1,1,2
2012-04-21,0,0,1,-1
2012-04-23,0,0,1,2
2012-04-24,0,0,1,2
2012-04-25,0,0,1,-1
2012-04-26,1,2,1,0
2012-04-28,1,2,1,2
2012-04-29,2,4,3,6
2012-04-30,1,2,2,2
2012-05-01,0,0,2,4
2012-05-03,0,0,1,0
2012-05-04,6,10,9,8
2012-05-07,1,1,2,4
2012-05-08,0,1,3,5
2012-05-09,1,2,1,-2
2012-05-10,0,1,4,6
2012-05-11,0,0,1,2
2012-05-12,4,12,-2,8
2012-05-13,0,0,1,2
2012-05-14,0,1,0,0
2012-05-15,1,1,2,4
2012-05-16,1,2,4,2
2012-05-17,2,3,4,6
2012-05-18,0,1,3,0
2012-05-20,1,1,2,0
2012-05-21,0,1,1,2
2012-05-22,0,0,1,1
2012-05-23,2,5,1,1
2012-05-24,6,9,6,7
2012-05-25,5,10,3,4
2012-05-26,0,0,1,2
2012-05-27,3,3,5,0
2012-05-28,0,0,2,4
2012-05-29,0,0,1,2
2012-06-01,0,0,1,2
2012-06-03,0,0,2,1
2012-06-04,0,1,1,1
2012-06-06,1,3,3,8
2012-06-07,1,2,3,3
2012-06-08,0,0,1,2
2012-06-10,0,0,2,4
2012-06-11,0,0,3,6
2012-06-12,0,1,0,0
2012-06-13,4,4,5,10
2012-06-17,1,2,4,6
2012-06-18,0,2,-1,1
2012-06-19,1,1,5,7
2012-06-20,2,3,4,6
2012-06-21,0,2,3,3
2012-06-22,2,8,0,5
2012-06-23,0,0,1,2
2012-06-24,6,7,8,15
2012-06-26,3,5,2,4
2012-06-27,0,0,1,2
2012-06-28,4,6,5,7
2012-06-29,1,1,3,6
2012-06-30,0,0,2,4
2012-07-01,0,0,2,4
2012-07-02,0,0,1,2
2012-07-03,0,0,1,0
2012-07-05,0,0,2,4
2012-07-06,0,1,2,3
2012-07-07,1,1,3,6
2012-07-09,13,14,13,26
2012-07-10,0,0,1,1
2012-07-11,2,3,3,-2
2012-07-12,0,0,2,4
2012-07-13,0,0,1,2
2012-07-16,0,0,2,2
2012-07-17,0,0,1,2
2012-07-18,0,1,4,6
2012-07-19,1,2,1,2
2012-07-20,1,2,3,1
2012-07-21,0,0,1,1
2012-07-22,0,6,-5,5
2012-07-23,0,2,1,2
2012-07-24,0,0,1,1
2012-07-25,1,2,2,4
2012-07-26,2,2,6,12
2012-07-27,0,0,1,1
2012-07-28,135,154,118,-232
2012-07-29,115,145,88,87
2012-07-30,0,0,4,8
2012-08-01,58,90,35,69
2012-08-02,0,0,1,2
2012-08-03,0,2,0,3
2012-08-04,3,7,3,6
2012-08-05,0,0,1,2
2012-08-06,0,0,1,2
2012-08-07,7,11,8,4
2012-08-08,0,0,1,1
2012-08-09,0,1,4,8
2012-08-10,3,6,5,9
2012-08-11,1,1,4,6
2012-08-12,2,5,7,20
2012-08-13,0,0,1,2
2012-08-14,1,1,2,4
2012-08-15,0,0,1,2
2012-08-16,0,0,5,8
2012-08-18,0,0,1,2
2012-08-19,1,1,2,4
2012-08-20,0,0,2,4
2012-08-21,0,0,1,0
2012-08-22,0,1,2,4
2012-08-23,3,9,2,11
2012-08-24,0,0,1,2
2012-08-25,0,0,1,1
2012-08-26,2,4,3,6
2012-08-27,0,1,0,0
2012-08-28,0,0,3,6
2012-08-29,8,13,5,4
2012-08-30,0,1,2,4
2012-08-31,5,7,6,2
2012-09-01,1,3,3,5
2012-09-02,0,0,1,2
2012-09-03,0,0,2,4
2012-09-04,0,0,2,4
2012-09-05,3,4,4,5
2012-09-06,0,0,2,3
2012-09-07,12,12,16,30
2012-09-08,0,0,2,4
2012-09-09,1,2,1,-1
2012-09-10,1,1,3,6
2012-09-11,0,0,2,4
2012-09-13,0,0,1,2
2012-09-16,0,0,1,2
2012-09-18,0,4,0,6
2012-09-19,0,0,2,4
2012-09-20,6,6,11,14
2012-09-21,2,3,5,5
2012-09-22,0,0,2,2
2012-09-24,0,0,1,2
2012-09-25,0,0,1,2
2012-09-26,0,0,2,3
2012-09-27,2,4,3,2
2012-09-28,0,3,0,6
2012-09-30,0,0,2,2
2012-10-01,0,0,1,2
2012-10-02,0,0,2,2
2012-10-03,3,6,8,22
2012-10-04,1,2,2,4
2012-10-05,0,0,1,2
2012-10-08,0,0,3,6
2012-10-10,1,4,0,4
2012-10-11,0,0,3,4
2012-10-12,0,0,1,2
2012-10-13,1,1,2,4
2012-10-14,1,1,5,8
2012-10-16,0,0,1,2
2012-10-17,0,1,1,1
2012-10-18,0,7,-5,13
2012-10-19,3,6,2,4
2012-10-21,0,0,1,2
2012-10-22,2,2,6,11
2012-10-23,0,0,1,2
2012-10-25,1,2,4,5
2012-10-28,4,4,9,12
2012-10-29,0,2,4,6
2012-10-31,6,6,8,16
2012-11-01,13,17,14,-12
2012-11-02,1,9,-4,16
2012-11-03,12,14,12,-9
2012-11-04,0,4,-3,6
2012-11-05,1,2,2,1
2012-11-06,4,10,1,2
2012-11-07,0,0,2,1
2012-11-09,2,3,4,5
2012-11-10,8,11,7,14
2012-11-11,6,6,11,20
2012-11-12,0,0,3,6
2012-11-13,0,0,6,7
2012-11-14,0,0,4,8
2012-11-15,0,0,5,7
2012-11-16,4,7,5,1
2012-11-17,2,4,6,11
2012-11-18,0,0,2,4
2012-11-19,1,1,3,0
2012-11-20,2,2,4,5
2012-11-22,0,0,1,2
2012-11-23,0,0,1,2
2012-11-24,1,4,2,4
2012-11-25,2,4,8,14
2012-11-26,7,8,12,14
2012-11-27,1,4,9,13
2012-11-28,0,1,4,8
2012-11-29,0,2,4,5
2012-11-30,1,3,6,9
2012-12-01,1,1,5,6
2012-12-02,0,0,4,8
2012-12-03,2,5,6,4
2012-12-04,0,0,6,11
2012-12-05,1,3,3,5
2012-12-06,1,2,1,-1
2012-12-07,1,2,8,10
2012-12-08,0,0,9,17
2012-12-09,2,3,6,8
2012-12-10,1,4,1,2
2012-12-11,0,0,10,15
