pclass,survived,sex,age,Adult
First,0,male,30,Adult
First,1,female,58,Adult
First,1,female,15,Child
First,0,male,30,Adult
First,1,female,16,Child
First,0,male,19,Adult
First,1,female,18,Adult
First,1,female,24,Adult
First,0,male,46,Adult
First,0,male,54,Adult
First,1,male,36,Adult
First,0,male,28,Adult
First,0,male,65,Adult
First,0,male,44,Adult
First,1,female,33,Adult
First,1,female,37,Adult
First,1,male,30,Adult
First,0,male,55,Adult
First,0,male,47,Adult
First,0,male,37,Adult
First,1,female,31,Adult
First,1,female,23,Adult
First,0,male,58,Adult
First,1,female,19,Adult
First,0,male,64,Adult
First,1,female,39,Adult
First,1,female,22,Adult
First,0,male,65,Adult
First,0,male,28.5,Adult
First,0,male,45.5,Adult
First,0,male,23,Adult
First,0,male,29,Adult
First,1,female,22,Adult
First,0,male,18,Adult
First,1,female,17,Adult
First,1,female,30,Adult
First,1,male,52,Adult
First,0,male,47,Adult
First,1,female,56,Adult
First,0,male,38,Adult
First,0,male,22,Adult
First,1,female,43,Adult
First,0,male,31,Adult
First,1,male,45,Adult
First,1,female,33,Adult
First,0,male,46,Adult
First,0,male,36,Adult
First,1,female,33,Adult
First,0,male,55,Adult
First,1,female,54,Adult
First,0,male,33,Adult
First,1,male,13,Child
First,1,female,18,Adult
First,1,female,21,Adult
First,0,male,61,Adult
First,1,female,48,Adult
First,1,female,24,Adult
First,1,female,35,Adult
First,1,female,30,Adult
First,1,male,34,Adult
First,1,female,40,Adult
First,1,male,35,Adult
First,0,male,50,Adult
First,1,female,39,Adult
First,1,male,56,Adult
First,1,male,28,Adult
First,0,male,56,Adult
First,0,male,56,Adult
First,0,male,24,Adult
First,1,female,18,Adult
First,1,male,24,Adult
First,1,female,23,Adult
First,1,male,6,Child
First,1,male,45,Adult
First,1,female,40,Adult
First,0,male,57,Adult
First,1,male,32,Adult
First,0,male,62,Adult
First,1,male,54,Adult
First,1,female,43,Adult
First,1,female,52,Adult
First,1,female,62,Adult
First,0,male,67,Adult
First,0,female,63,Adult
First,0,male,61,Adult
First,1,female,48,Adult
First,1,female,18,Adult
First,0,male,52,Adult
First,1,female,39,Adult
First,1,male,48,Adult
First,0,male,49,Adult
First,1,male,17,Adult
First,1,female,39,Adult
First,1,male,31,Adult
First,0,male,40,Adult
First,0,male,61,Adult
First,0,male,47,Adult
First,1,female,35,Adult
First,0,male,64,Adult
First,1,female,60,Adult
First,0,male,60,Adult
First,0,male,54,Adult
First,0,male,21,Adult
First,1,female,55,Adult
First,1,female,31,Adult
First,0,male,57,Adult
First,1,female,45,Adult
First,0,male,50,Adult
First,0,male,27,Adult
First,1,female,50,Adult
First,1,female,21,Adult
First,0,male,51,Adult
First,1,male,21,Adult
First,1,female,31,Adult
First,0,male,62,Adult
First,1,female,36,Adult
Second,0,male,30,Adult
Second,1,female,28,Adult
Second,0,male,30,Adult
Second,0,male,18,Adult
Second,0,male,25,Adult
Second,0,male,34,Adult
Second,1,female,36,Adult
Second,0,male,57,Adult
Second,0,male,18,Adult
Second,0,male,23,Adult
Second,1,female,36,Adult
Second,0,male,28,Adult
Second,0,male,51,Adult
Second,1,male,32,Adult
Second,1,female,19,Adult
Second,0,male,28,Adult
Second,1,male,1,Child
Second,1,female,4,Child
Second,1,female,12,Child
Second,1,female,36,Adult
Second,1,male,34,Adult
Second,1,female,19,Adult
Second,0,male,23,Adult
Second,0,male,26,Adult
Second,0,male,42,Adult
Second,0,male,27,Adult
Second,1,female,24,Adult
Second,1,female,15,Child
Second,0,male,60,Adult
Second,1,female,40,Adult
Second,1,female,20,Adult
Second,0,male,25,Adult
Second,1,female,36,Adult
Second,0,male,25,Adult
Second,0,male,42,Adult
Second,1,female,42,Adult
Second,1,male,0.8333,Child
Second,1,male,26,Adult
Second,1,female,22,Adult
Second,1,female,35,Adult
Second,0,male,19,Adult
Second,0,female,44,Adult
Second,0,male,54,Adult
Second,0,male,52,Adult
Second,0,male,37,Adult
Second,0,female,29,Adult
Second,1,female,25,Adult
Second,1,female,45,Adult
Second,0,male,29,Adult
Second,1,female,28,Adult
Second,0,male,29,Adult
Second,0,male,28,Adult
Second,1,male,24,Adult
Second,1,female,8,Child
Second,0,male,31,Adult
Second,1,female,31,Adult
Second,1,female,22,Adult
Second,0,female,30,Adult
Second,0,male,21,Adult
Second,1,male,8,Child
Second,0,male,18,Adult
Second,1,female,48,Adult
Second,1,female,28,Adult
Second,0,male,32,Adult
Second,0,male,17,Adult
Second,0,male,29,Adult
Second,1,female,24,Adult
Second,0,male,25,Adult
Second,0,male,18,Adult
Second,1,female,18,Adult
Second,1,female,34,Adult
Second,0,male,54,Adult
Second,1,male,8,Child
Second,0,male,42,Adult
Second,1,female,34,Adult
Second,1,female,27,Adult
Second,1,female,30,Adult
Second,0,male,23,Adult
Second,0,male,21,Adult
Second,0,male,18,Adult
Second,0,male,40,Adult
Second,1,female,29,Adult
Second,0,male,18,Adult
Second,0,male,36,Adult
Second,0,female,38,Adult
Second,0,male,35,Adult
Second,0,male,38,Adult
Second,0,male,34,Adult
Second,1,female,34,Adult
Second,0,male,16,Child
Second,0,male,26,Adult
Second,0,male,47,Adult
Second,0,male,21,Adult
Second,0,male,21,Adult
Second,0,male,24,Adult
Second,0,male,24,Adult
Second,0,male,34,Adult
Second,0,male,30,Adult
Second,0,male,52,Adult
Second,0,male,30,Adult
Second,1,male,0.6667,Child
Second,1,female,24,Adult
Second,0,male,44,Adult
Second,1,female,6,Child
Second,0,male,28,Adult
Second,1,male,62,Adult
Second,0,male,30,Adult
Second,1,female,7,Child
Second,0,male,43,Adult
Second,1,female,45,Adult
Second,1,female,24,Adult
Second,1,female,24,Adult
Second,0,male,49,Adult
Second,1,female,48,Adult
Second,1,female,55,Adult
Second,0,male,24,Adult
Second,0,male,32,Adult
Second,0,male,21,Adult
Second,0,female,18,Adult
Second,1,female,20,Adult
Second,0,male,23,Adult
Second,0,male,36,Adult
Second,1,female,54,Adult
Second,0,male,50,Adult
Second,0,male,44,Adult
Second,1,female,29,Adult
Second,0,male,21,Adult
Second,1,male,42,Adult
Second,0,male,63,Adult
Second,0,female,60,Adult
Second,0,male,33,Adult
Second,1,female,17,Adult
Second,0,male,42,Adult
Second,1,female,24,Adult
Second,0,male,47,Adult
Second,0,male,24,Adult
Second,0,male,22,Adult
Second,0,male,32,Adult
Second,1,female,23,Adult
Second,0,male,34,Adult
Second,1,female,24,Adult
Second,0,female,22,Adult
Second,0,male,35,Adult
Second,1,female,45,Adult
Second,0,male,57,Adult
Second,0,male,31,Adult
Second,0,female,26,Adult
Second,0,male,30,Adult
Second,1,female,1,Child
Second,1,female,3,Child
Second,0,male,25,Adult
Second,1,female,22,Adult
Second,1,female,17,Adult
Second,1,female,34,Adult
Second,0,male,36,Adult
Second,0,male,24,Adult
Second,0,male,61,Adult
Second,0,male,50,Adult
Second,1,female,42,Adult
Second,0,female,57,Adult
Second,1,male,1,Child
Second,0,male,31,Adult
Second,1,female,24,Adult
Second,0,male,30,Adult
Second,0,male,40,Adult
Second,0,male,32,Adult
Second,0,male,30,Adult
Second,0,male,46,Adult
Second,1,female,13,Child
Second,1,female,41,Adult
Second,1,male,19,Adult
Second,0,male,39,Adult
Second,0,male,48,Adult
Second,0,male,70,Adult
Second,0,male,27,Adult
Second,0,male,54,Adult
Second,0,male,39,Adult
Second,0,male,16,Child
Second,0,male,62,Adult
Second,0,male,32.5,Adult
Second,1,female,14,Child
Second,1,male,2,Child
Second,1,male,3,Child
Second,0,male,36.5,Adult
Second,0,male,26,Adult
Second,0,male,19,Adult
Second,0,male,28,Adult
Second,1,male,20,Adult
Second,1,female,29,Adult
Second,0,male,39,Adult
Second,1,male,22,Adult
Second,0,male,23,Adult
Second,1,male,29,Adult
Second,0,male,28,Adult
Second,1,female,50,Adult
Second,0,male,19,Adult
Second,0,male,41,Adult
Second,1,female,21,Adult
Second,1,female,19,Adult
Second,0,male,43,Adult
Second,1,female,32,Adult
Second,0,male,34,Adult
Second,1,male,30,Adult
Second,0,male,27,Adult
Second,1,female,2,Child
Second,1,female,8,Child
Second,1,female,33,Adult
Second,0,male,36,Adult
Second,0,male,34,Adult
Second,1,female,30,Adult
Second,1,female,28,Adult
Second,0,male,23,Adult
Second,1,male,0.8333,Child
Second,1,male,3,Child
Second,1,female,24,Adult
Second,1,female,50,Adult
Second,0,male,19,Adult
Second,1,female,21,Adult
Second,0,male,26,Adult
Second,0,male,25,Adult
Second,0,male,27,Adult
Second,1,female,25,Adult
Second,1,female,18,Adult
Second,1,female,20,Adult
Second,1,female,30,Adult
Second,0,male,59,Adult
Second,1,female,30,Adult
Second,0,male,35,Adult
Second,1,female,40,Adult
Second,0,male,25,Adult
Second,0,male,41,Adult
Second,0,male,25,Adult
Second,0,male,18.5,Adult
Second,0,male,14,Child
Second,1,female,50,Adult
Second,0,male,23,Adult
Second,1,female,28,Adult
Second,1,female,27,Adult
Second,0,male,29,Adult
Second,0,female,27,Adult
Second,0,male,40,Adult
Second,1,female,31,Adult
Second,0,male,30,Adult
Second,0,male,23,Adult
Second,1,female,31,Adult
Second,1,female,12,Child
Second,1,female,40,Adult
Second,1,female,32.5,Adult
Second,0,male,27,Adult
Second,1,female,29,Adult
Second,1,male,2,Child
Second,1,female,4,Child
Second,1,female,29,Adult
Second,1,female,0.9167,Child
Second,1,female,5,Child
Second,0,male,36,Adult
Second,1,female,33,Adult
Second,0,male,66,Adult
Second,1,male,31,Adult
Second,1,female,26,Adult
Second,0,female,24,Adult
Third,0,male,42,Adult
Third,0,male,13,Child
Third,0,male,16,Child
Third,1,female,35,Adult
Third,1,female,16,Child
Third,1,male,25,Adult
Third,1,male,20,Adult
Third,1,female,18,Adult
Third,0,male,30,Adult
Third,0,male,26,Adult
Third,0,female,40,Adult
Third,1,male,0.8333,Child
Third,1,female,18,Adult
Third,1,male,26,Adult
Third,0,male,26,Adult
Third,0,male,20,Adult
Third,0,male,24,Adult
Third,0,male,25,Adult
Third,0,male,35,Adult
Third,0,male,18,Adult
Third,0,male,32,Adult
Third,1,female,19,Adult
Third,0,male,4,Child
Third,0,female,6,Child
Third,0,female,2,Child
Third,1,female,17,Adult
Third,0,female,38,Adult
Third,0,female,9,Child
Third,0,female,11,Child
Third,0,male,39,Adult
Third,1,male,27,Adult
Third,0,male,26,Adult
Third,0,female,39,Adult
Third,0,male,20,Adult
Third,0,male,26,Adult
Third,0,male,25,Adult
Third,0,female,18,Adult
Third,0,male,24,Adult
Third,0,male,35,Adult
Third,0,male,5,Child
Third,0,male,9,Child
Third,1,male,3,Child
Third,0,male,13,Child
Third,1,female,5,Child
Third,0,male,40,Adult
Third,1,male,23,Adult
Third,1,female,38,Adult
Third,1,female,45,Adult
Third,0,male,21,Adult
Third,0,male,23,Adult
Third,0,female,17,Adult
Third,0,male,30,Adult
Third,0,male,23,Adult
Third,1,female,13,Child
Third,0,male,20,Adult
Third,0,male,32,Adult
Third,1,female,33,Adult
Third,1,female,0.75,Child
Third,1,female,0.75,Child
Third,1,female,5,Child
Third,1,female,24,Adult
Third,1,female,18,Adult
Third,0,male,40,Adult
Third,0,male,26,Adult
Third,1,male,20,Adult
Third,0,female,18,Adult
Third,0,female,45,Adult
Third,0,female,27,Adult
Third,0,male,22,Adult
Third,0,male,19,Adult
Third,0,male,26,Adult
Third,0,male,22,Adult
Third,0,male,20,Adult
Third,1,male,32,Adult
Third,0,male,21,Adult
Third,0,male,18,Adult
Third,0,male,26,Adult
Third,0,male,6,Child
Third,0,female,9,Child
Third,0,male,40,Adult
Third,0,female,32,Adult
Third,0,male,21,Adult
Third,1,female,22,Adult
Third,0,female,20,Adult
Third,0,male,29,Adult
Third,0,male,22,Adult
Third,0,male,22,Adult
Third,0,male,35,Adult
Third,0,female,18.5,Adult
Third,1,male,21,Adult
Third,0,male,19,Adult
Third,0,female,18,Adult
Third,0,female,21,Adult
Third,0,female,30,Adult
Third,0,male,18,Adult
Third,0,male,38,Adult
Third,0,male,17,Adult
Third,0,male,17,Adult
Third,0,female,21,Adult
Third,0,male,21,Adult
Third,0,male,21,Adult
Third,0,male,28,Adult
Third,0,male,24,Adult
Third,1,female,16,Child
Third,0,female,37,Adult
Third,0,male,28,Adult
Third,0,male,24,Adult
Third,0,male,21,Adult
Third,1,male,32,Adult
Third,0,male,29,Adult
Third,0,male,26,Adult
Third,0,male,18,Adult
Third,0,male,20,Adult
Third,1,male,18,Adult
Third,0,male,24,Adult
Third,0,male,36,Adult
Third,0,male,24,Adult
Third,0,male,31,Adult
Third,0,male,31,Adult
Third,1,female,22,Adult
Third,0,female,30,Adult
Third,0,male,70.5,Adult
Third,0,male,43,Adult
Third,0,male,35,Adult
Third,0,male,27,Adult
Third,0,male,19,Adult
Third,0,male,30,Adult
Third,1,male,9,Child
Third,1,male,3,Child
Third,1,female,36,Adult
Third,0,male,59,Adult
Third,0,male,19,Adult
Third,1,female,17,Adult
Third,0,male,44,Adult
Third,0,male,17,Adult
Third,0,male,22.5,Adult
Third,1,male,45,Adult
Third,0,female,22,Adult
Third,0,male,19,Adult
Third,1,female,30,Adult
Third,1,male,29,Adult
Third,0,male,0.3333,Child
Third,0,male,34,Adult
Third,0,female,28,Adult
Third,0,male,27,Adult
Third,0,male,25,Adult
Third,0,male,24,Adult
Third,0,male,22,Adult
Third,0,male,21,Adult
Third,0,male,17,Adult
Third,1,male,36.5,Adult
Third,1,female,36,Adult
Third,1,male,30,Adult
Third,0,male,16,Child
Third,1,male,1,Child
Third,1,female,0.1667,Child
Third,0,male,26,Adult
Third,1,female,33,Adult
Third,0,male,25,Adult
Third,0,male,22,Adult
Third,0,male,36,Adult
Third,1,female,19,Adult
Third,0,male,17,Adult
Third,0,male,42,Adult
Third,0,male,43,Adult
Third,0,male,32,Adult
Third,1,male,19,Adult
Third,1,female,30,Adult
Third,0,female,24,Adult
Third,1,female,23,Adult
Third,0,male,33,Adult
Third,0,male,65,Adult
Third,1,male,24,Adult
Third,0,male,23,Adult
Third,1,female,22,Adult
Third,0,male,18,Adult
Third,0,male,16,Child
Third,0,male,45,Adult
Third,0,male,39,Adult
Third,0,male,17,Adult
Third,0,male,15,Child
Third,0,male,47,Adult
Third,1,female,5,Child
Third,0,male,40.5,Adult
Third,0,male,40.5,Adult
Third,0,male,18,Adult
Third,0,male,26,Adult
Third,0,female,21,Adult
Third,0,female,9,Child
Third,0,male,18,Adult
Third,0,male,16,Child
Third,0,female,48,Adult
Third,0,male,25,Adult
Third,0,male,22,Adult
Third,1,female,16,Child
Third,1,male,9,Child
Third,0,male,33,Adult
Third,0,male,41,Adult
Third,1,female,31,Adult
Third,0,male,38,Adult
Third,0,male,9,Child
Third,0,male,1,Child
Third,0,male,11,Child
Third,0,female,10,Child
Third,0,female,16,Child
Third,0,male,14,Child
Third,0,male,40,Adult
Third,0,female,43,Adult
Third,0,male,51,Adult
Third,0,male,32,Adult
Third,0,male,20,Adult
Third,0,male,37,Adult
Third,0,male,28,Adult
Third,0,male,19,Adult
Third,0,female,24,Adult
Third,0,female,17,Adult
Third,0,male,28,Adult
Third,1,female,24,Adult
Third,0,male,20,Adult
Third,0,male,23.5,Adult
Third,0,male,41,Adult
Third,0,male,26,Adult
Third,0,male,21,Adult
Third,1,female,45,Adult
Third,0,male,25,Adult
Third,0,male,11,Child
Third,1,male,27,Adult
Third,0,female,18,Adult
Third,1,female,26,Adult
Third,0,female,23,Adult
Third,1,female,22,Adult
Third,0,male,28,Adult
Third,0,female,28,Adult
Third,1,female,2,Child
Third,1,female,22,Adult
Third,0,male,43,Adult
Third,0,male,28,Adult
Third,1,female,27,Adult
Third,0,male,42,Adult
Third,0,male,30,Adult
Third,0,female,27,Adult
Third,0,female,25,Adult
Third,1,male,29,Adult
Third,1,male,21,Adult
Third,0,male,20,Adult
Third,0,male,48,Adult
Third,0,male,17,Adult
Third,0,male,34,Adult
Third,1,male,26,Adult
Third,0,male,22,Adult
Third,0,male,33,Adult
Third,0,male,31,Adult
Third,0,male,29,Adult
Third,1,male,4,Child
Third,1,female,1,Child
Third,0,male,49,Adult
Third,0,male,33,Adult
Third,0,male,19,Adult
Third,1,female,27,Adult
Third,0,male,23,Adult
Third,1,male,32,Adult
Third,0,male,27,Adult
Third,0,female,20,Adult
Third,0,female,21,Adult
Third,1,male,32,Adult
Third,0,male,17,Adult
Third,0,male,21,Adult
Third,0,male,30,Adult
Third,1,male,21,Adult
Third,0,male,33,Adult
Third,0,male,22,Adult
Third,1,female,4,Child
Third,1,male,39,Adult
Third,0,male,18.5,Adult
Third,0,male,34.5,Adult
Third,0,male,44,Adult
Third,0,female,22,Adult
Third,0,male,26,Adult
Third,1,female,4,Child
Third,1,male,29,Adult
Third,1,female,26,Adult
Third,0,female,1,Child
Third,0,male,18,Adult
Third,0,female,36,Adult
Third,1,male,25,Adult
Third,0,female,37,Adult
Third,1,female,22,Adult
Third,1,male,26,Adult
Third,0,male,29,Adult
Third,0,male,29,Adult
Third,0,male,22,Adult
Third,1,male,22,Adult
Third,0,male,32,Adult
Third,0,male,34.5,Adult
Third,0,male,36,Adult
Third,0,male,39,Adult
Third,0,male,24,Adult
Third,0,female,25,Adult
Third,0,female,45,Adult
Third,0,male,36,Adult
Third,0,female,30,Adult
Third,1,male,20,Adult
Third,0,male,28,Adult
Third,0,male,30,Adult
Third,0,female,26,Adult
Third,0,male,20.5,Adult
Third,1,male,27,Adult
Third,0,male,51,Adult
Third,1,female,23,Adult
Third,1,male,32,Adult
Third,1,male,24,Adult
Third,0,male,22,Adult
Third,0,male,29,Adult
Third,0,female,30.5,Adult
Third,0,male,35,Adult
Third,0,male,33,Adult
Third,1,female,15,Child
Third,0,female,35,Adult
Third,0,male,24,Adult
Third,0,female,19,Adult
Third,0,male,55.5,Adult
Third,1,male,21,Adult
Third,0,male,24,Adult
Third,0,male,21,Adult
Third,0,male,28,Adult
Third,0,male,25,Adult
Third,1,male,6,Child
Third,1,female,27,Adult
Third,0,male,34,Adult
Third,1,female,24,Adult
Third,0,male,18,Adult
Third,0,male,22,Adult
Third,1,female,15,Child
Third,1,female,1,Child
Third,1,male,20,Adult
Third,1,female,19,Adult
Third,0,male,33,Adult
Third,1,male,12,Child
Third,1,female,14,Child
Third,0,female,29,Adult
Third,0,male,28,Adult
Third,1,female,18,Adult
Third,1,female,26,Adult
Third,0,male,21,Adult
Third,0,male,41,Adult
Third,1,male,39,Adult
Third,0,male,21,Adult
Third,0,male,28.5,Adult
Third,1,female,22,Adult
Third,0,male,61,Adult
Third,0,male,23,Adult
Third,1,female,22,Adult
Third,1,male,9,Child
Third,0,male,28,Adult
Third,0,male,42,Adult
Third,0,female,31,Adult
Third,0,male,28,Adult
Third,1,male,32,Adult
Third,0,male,20,Adult
Third,0,female,23,Adult
Third,0,female,20,Adult
Third,0,male,20,Adult
Third,0,male,16,Child
Third,1,female,31,Adult
Third,0,male,2,Child
Third,0,male,6,Child
Third,0,female,3,Child
Third,0,female,8,Child
Third,0,female,29,Adult
Third,0,male,1,Child
Third,0,male,7,Child
Third,0,male,2,Child
Third,0,male,16,Child
Third,0,male,14,Child
Third,0,female,41,Adult
Third,0,male,21,Adult
Third,0,male,19,Adult
Third,0,male,32,Adult
Third,0,male,0.75,Child
Third,0,female,3,Child
Third,0,female,26,Adult
Third,0,male,21,Adult
Third,0,male,25,Adult
Third,0,male,22,Adult
Third,1,male,25,Adult
Third,0,male,24,Adult
Third,0,female,28,Adult
Third,0,male,19,Adult
Third,0,male,25,Adult
Third,0,female,18,Adult
Third,1,male,32,Adult
Third,0,male,17,Adult
Third,0,male,24,Adult
Third,0,male,38,Adult
Third,0,male,21,Adult
Third,0,male,10,Child
Third,0,male,4,Child
Third,0,male,7,Child
Third,0,male,2,Child
Third,0,male,8,Child
Third,0,female,39,Adult
Third,0,female,22,Adult
Third,0,male,35,Adult
Third,0,male,50,Adult
Third,0,female,47,Adult
Third,0,female,2,Child
Third,0,male,18,Adult
Third,0,female,41,Adult
Third,0,male,50,Adult
Third,0,male,16,Child
Third,0,male,25,Adult
Third,0,male,38.5,Adult
Third,0,male,14.5,Child
Third,0,male,24,Adult
Third,1,female,21,Adult
Third,0,male,39,Adult
Third,1,female,1,Child
Third,1,female,24,Adult
Third,1,female,4,Child
Third,1,male,25,Adult
Third,0,male,20,Adult
Third,0,male,24.5,Adult
Third,1,male,29,Adult
Third,0,male,22,Adult
Third,0,male,40,Adult
Third,0,male,21,Adult
Third,1,female,18,Adult
Third,0,male,4,Child
Third,0,male,10,Child
Third,0,female,9,Child
Third,0,female,2,Child
Third,0,male,40,Adult
Third,0,female,45,Adult
Third,0,male,19,Adult
Third,0,male,30,Adult
Third,0,male,32,Adult
Third,0,male,33,Adult
Third,1,female,23,Adult
Third,0,male,21,Adult
Third,0,male,60.5,Adult
Third,0,male,19,Adult
Third,0,female,22,Adult
Third,1,male,31,Adult
Third,0,male,27,Adult
Third,0,female,2,Child
Third,0,female,29,Adult
Third,1,male,16,Child
Third,1,male,44,Adult
Third,0,male,25,Adult
Third,0,male,74,Adult
Third,1,male,14,Child
Third,0,male,24,Adult
Third,1,male,25,Adult
Third,0,male,34,Adult
Third,1,male,0.4167,Child
Third,1,female,16,Child
Third,0,male,32,Adult
Third,0,male,30.5,Adult
Third,0,male,44,Adult
Third,1,male,25,Adult
Third,1,male,7,Child
Third,1,female,9,Child
Third,1,female,29,Adult
Third,0,male,36,Adult
Third,1,female,18,Adult
Third,1,female,63,Adult
Third,0,male,11.5,Child
Third,0,male,40.5,Adult
Third,0,female,10,Child
Third,0,male,36,Adult
Third,0,female,30,Adult
Third,0,male,33,Adult
Third,0,male,28,Adult
Third,0,male,28,Adult
Third,0,male,47,Adult
Third,0,female,18,Adult
Third,0,male,31,Adult
Third,0,male,16,Child
Third,0,female,31,Adult
Third,1,male,22,Adult
Third,0,male,20,Adult
Third,0,female,14,Child
Third,0,male,22,Adult
Third,0,male,22,Adult
Third,0,male,32.5,Adult
Third,1,female,38,Adult
Third,0,male,51,Adult
Third,0,male,18,Adult
Third,0,male,21,Adult
Third,1,female,47,Adult
Third,0,male,28.5,Adult
Third,0,male,21,Adult
Third,0,male,27,Adult
Third,0,male,36,Adult
Third,0,male,27,Adult
Third,1,female,15,Child
Third,0,male,45.5,Adult
Third,0,female,14.5,Child
Third,0,male,26.5,Adult
Third,0,male,27,Adult
Third,0,male,29,Adult
